0 1.000000000000000E+00
1 5.155313650878950E-01
2 1.749971677393453E-01
3 1.570737581198818E-01
4 4.449169205953395E-02
5 8.005055874666314E-02
6 6.753475137445281E-02
7 2.219290574649166E-02
8 3.349905725916817E-02
9 3.217157215575012E-02
10 1.138925776540902E-02
11 2.104950352680056E-02
12 1.795385329066510E-02
13 6.077610069759493E-03
14 8.936067098541233E-03
15 8.537544425659275E-03
16 3.172491597337868E-03
17 6.042760292074093E-03
18 5.096570473172130E-03
19 1.687178987987976E-03
20 2.377951844997989E-03
21 2.278494276443935E-03
22 8.707015540875865E-04
