0 1.000000000000000E+00
1 7.206308202692566E-01
2 5.696918533605725E-01
3 4.540665803624744E-01
4 3.624343432314200E-01
5 2.894395302050832E-01
6 2.312107324592313E-01
7 1.847322681496865E-01
8 1.476192655864965E-01
9 1.179769249205255E-01
10 9.429675356843080E-02
11 7.537649601520814E-02
12 6.025732024886552E-02
13 4.817417772242850E-02
14 3.851642790247752E-02
15 3.079654032076031E-02
16 2.462518576124843E-02
17 1.969139559364080E-02
18 1.574674834533243E-02
19 1.259276004683427E-02
20 1.007082535599246E-02
21 8.054190843171549E-03
22 6.441548090261266E-03
23 5.151918476901492E-03
24 4.120568370573973E-03
25 3.295746548242535E-03
26 2.636077913727428E-03
27 2.108481188358701E-03
28 1.686505019561658E-03
29 1.348998278424384E-03
30 1.079047316706803E-03
31 8.631265096194074E-04
